idseaConditionFact,bulk,texture,shape,uniformity,score,date,idspot
479,0,1,3,2,2,6/3/2020 7:00,386
480,0,2,3,1,1,6/3/2020 12:00,386
481,1,1,2,2,8,6/3/2020 7:00,380
482,0,1,1,2,3,6/3/2020 8:00,380
483,1,1,2,2,2,6/4/2020 7:00,386
484,0,1,2,2,1,6/4/2020 8:00,386
485,0,2,3,0,1,6/4/2020 13:00,386
486,0,1,3,1,1,6/4/2020 17:00,386
487,0,1,2,2,1,6/4/2020 7:00,380
488,0,2,3,2,1,6/4/2020 13:00,380
489,0,1,3,2,1,6/4/2020 17:00,380
490,1,3,3,0,1,6/5/2020 7:00,386
491,1,2,3,1,3,6/5/2020 13:00,386
492,0,1,1,0,1,6/5/2020 7:00,380
493,0,2,1,0,1,6/5/2020 9:00,380
494,1,2,1,0,2,6/5/2020 15:00,380
495,3,4,3,0,4,6/6/2020 7:00,386
496,2,3,3,1,5,6/6/2020 8:00,386
497,2,3,3,0,4,6/6/2020 9:00,386
498,1,3,1,0,3,6/6/2020 10:00,386
499,2,3,1,0,2,6/6/2020 11:00,386
500,3,3,2,0,4,6/6/2020 12:00,386
501,3,3,1,0,2,6/6/2020 15:00,386
502,2,4,3,0,2,6/6/2020 7:00,380
503,3,3,3,1,4,6/6/2020 9:00,380
504,2,3,3,1,4,6/6/2020 11:00,380
505,3,4,3,1,5,6/6/2020 12:00,380
506,2,3,3,1,4,6/6/2020 14:00,380
507,2,3,3,1,4,6/6/2020 16:00,380
508,3,3,3,1,4,6/6/2020 17:00,380
509,3,1,4,2,9,6/7/2020 7:00,386
510,3,1,1,1,7,6/7/2020 9:00,386
511,2,1,3,2,8,6/7/2020 11:00,386
512,2,1,2,2,7,6/7/2020 14:00,386
513,2,1,4,2,9,6/7/2020 17:00,386
514,2,2,1,0,3,6/7/2020 7:00,380
515,1,2,3,0,2,6/7/2020 9:00,380
516,2,2,1,1,3,6/7/2020 12:00,380
517,1,1,3,2,6,6/7/2020 14:00,380
518,2,3,4,2,8,6/7/2020 16:00,380
519,2,2,3,2,8,6/8/2020 7:00,386
520,2,2,1,1,5,6/8/2020 9:00,386
521,2,2,2,2,6,6/8/2020 10:00,386
522,2,1,3,2,6,6/8/2020 12:00,386
523,1,1,3,2,6,6/8/2020 13:00,386
524,1,2,3,0,3,6/8/2020 17:00,386
525,2,2,2,1,6,6/8/2020 7:00,380
526,1,2,3,1,4,6/8/2020 8:00,380
527,1,1,3,2,4,6/8/2020 11:00,380
528,1,2,3,1,4,6/8/2020 17:00,380
529,1,2,3,1,4,6/9/2020 7:00,386
530,1,2,3,0,2,6/9/2020 8:00,386
531,1,2,3,0,2,6/9/2020 11:00,386
532,0,2,3,0,1,6/9/2020 13:00,386
533,0,1,3,0,1,6/9/2020 17:00,386
534,1,2,3,0,2,6/9/2020 7:00,380
535,1,2,3,0,2,6/9/2020 9:00,380
536,0,2,3,0,1,6/9/2020 10:00,380
537,1,1,3,1,3,6/9/2020 11:00,380
538,0,1,3,1,1,6/9/2020 12:00,380
539,0,1,3,1,1,6/9/2020 17:00,380
540,0,1,2,1,1,6/10/2020 7:00,380
541,1,1,3,1,3,6/10/2020 9:00,380
542,0,1,3,2,1,6/10/2020 10:00,380
543,0,1,3,0,1,6/10/2020 7:00,386
544,0,1,3,1,1,6/10/2020 15:00,386
545,1,2,1,0,1,6/10/2020 17:00,386
546,1,2,3,1,4,6/11/2020 7:00,386
547,0,3,3,0,1,6/11/2020 9:00,386
548,0,4,3,0,1,6/11/2020 12:00,386
549,1,2,3,1,4,6/11/2020 15:00,386
550,0,3,3,0,1,6/11/2020 7:00,380
551,0,2,3,0,1,6/11/2020 11:00,380
552,0,1,3,1,2,6/11/2020 15:00,380
553,0,3,3,0,1,6/12/2020 7:00,380
554,1,3,3,0,2,6/12/2020 8:00,380
555,1,3,3,0,2,6/12/2020 15:00,380
556,0,1,3,1,1,6/13/2020 7:00,380
557,0,2,3,0,1,6/13/2020 9:00,380
558,0,1,3,1,1,6/13/2020 11:00,380
559,0,1,1,1,1,6/13/2020 17:00,380
560,0,1,1,1,1,6/14/2020 7:00,380
561,0,1,2,2,1,6/14/2020 17:00,380
562,0,1,2,1,1,6/15/2020 7:00,380
563,1,2,3,2,3,6/15/2020 10:00,380
564,1,1,1,2,1,6/15/2020 11:00,380
565,1,2,3,1,2,6/15/2020 12:00,380
566,0,3,3,0,1,6/15/2020 14:00,380
567,0,2,1,0,1,6/15/2020 17:00,380
568,1,4,3,0,1,6/12/2020 9:00,386
569,1,3,3,1,3,6/12/2020 11:00,386
570,1,2,3,1,3,6/12/2020 13:00,386
571,0,3,3,0,1,6/12/2020 16:00,386
572,0,3,3,0,1,6/13/2020 7:00,386
573,0,2,3,0,1,6/13/2020 9:00,386
574,1,3,1,1,1,6/13/2020 12:00,386
575,0,2,3,0,1,6/13/2020 15:00,386
576,0,3,3,0,1,6/13/2020 17:00,386
577,0,2,1,0,1,6/14/2020 7:00,386
578,0,2,1,1,1,6/14/2020 17:00,386
